node_id,lat,lon,location,"lat,lon"
11069389084,5.6505594,-0.188406,,"5.6505594,-0.188406"
5729091491,5.6486548,-0.1861489,,"5.6486548,-0.1861489"
6747640041,5.6446618,-0.1959783,,"5.6446618,-0.1959783"
4451500940,5.6505662,-0.1862071,,"5.6505662,-0.1862071"
5729091490,5.6477849,-0.1861721,,"5.6477849,-0.1861721"
5729091489,5.6477821,-0.1853688,Benzo Supermarket and Mini Restaurant,"5.6477821,-0.1853688"
4451500942,5.6505551,-0.1848851,,"5.6505551,-0.1848851"
6747640045,5.6447579,-0.1967025,,"5.6447579,-0.1967025"
6747640044,5.6450558,-0.1959867,,"5.6450558,-0.1959867"
4451500939,5.6452443,-0.1860945,,"5.6452443,-0.1860945"
11411731181,5.6444336,-0.1853701,,"5.6444336,-0.1853701"
4451500938,5.6437142,-0.1860689,,"5.6437142,-0.1860689"
5729091492,5.6486576,-0.1865148,,"5.6486576,-0.1865148"
4451500981,5.6525952,-0.187249,,"5.6525952,-0.187249"
4451500980,5.6525948,-0.1870545,,"5.6525948,-0.1870545"
7223666803,5.6453851,-0.1934302,,"5.6453851,-0.1934302"
4451500982,5.6525955,-0.1873804,,"5.6525955,-0.1873804"
7223666804,5.6460073,-0.1942679,,"5.6460073,-0.1942679"
4451500979,5.6525943,-0.1868453,,"5.6525943,-0.1868453"
7223666807,5.6457722,-0.1943529,,"5.6457722,-0.1943529"
4451500978,5.652594,-0.1867099,,"5.652594,-0.1867099"
4451500988,5.6527444,-0.1870532,,"5.6527444,-0.1870532"
7223666808,5.6462147,-0.1950006,,"5.6462147,-0.1950006"
11411442375,5.6521955,-0.1862248,,"5.6521955,-0.1862248"
